sku,price,product_name,product_name_ar
1,30000.0,HERCEPTIN V.SC 600 MG 1 5 ML,HERCEPTIN V.SC 600 MG 1 5 ML
2,311.0,CLEXANE 40 MG/0.4 ML 2 PREFILLED SYRINGE,كليكسان 40مجم/0.4مل 2 سرنجة للحقن تحت الجلد
4,108.0,MILGA 40 TAB,ميلجا 40 قرص
5,311.0,PLAVIX 75 MG 28 TAB,بلافيكس 75 مجم 28 قرص
6,3416.0,TIVICAY FILM C.TABS 50 MG 30,تيفيسى 50مجم 30 قرص
9,147.0,VILDAGLUSE PLUS 50/1000 MG 30 TAB,فيلداجلوز بلس 50 / 1000 مجم 30 قرص
12,15807.0,GILENYA CAPS .50 MG 28,جلينيا 0.5 مجم 2*14
14,96.0,ZURCAL 40 MG 14 TAB,زوركال 40 مجم 14 قرص
17,7000.0,JADENU FILM C.TABS 360 MG 30,جادينو 360 مجم 30 قرص
S13885,120.0,Dove Original Deodrant 40G,دوف اوريجينال مزيل عرق 40 جم
1179,30.0,DELTARHINO NASAL SPRAY 15 ML,دلتارينو بخاخ بالأنف 15 مل
248,75.0,KEROVIT 15 CAP,كيروفيت 15 كبسولة
249,31.0,CETAL 250 MG SUSP. 60 ML,سيتال 250مجم/5مل شراب معلق 60 مل
250,84.0,EUCARBON 30 TAB,اوكاربون 30 قرص
1182,39.0,OLFEN 75 MG/2 ML 6 AMP.,اولفين 75 مجم / 2 مل 6 امبول
251,132.0,CALCITRON 30 CAP,كالسيترون 30 كبسول
253,66.0,NEUROTON I.M. 6 AMP.,نيوروتون 6 امبول 2 مل
254,474.0,CIALIS 20 MG 4 TAB,سيالس 20 مجم 4 قرص
257,142.5,DANSET 8 MG/4 ML 3 AMP.,دانست 8 مجم / 4 مل 3 امبول
258,77.0,DIFLUCAN 150 MG 1 CAP,ديفلوكان 150 مجم 1 كبسول
260,90.0,TAVACIN 500 MG 5 TAB,تافاسين 500 مجم 5 قرص
262,246.0,PROCORALAN 5 MG 28 TAB,بروكورلان 5 مجم 28 قرص
1195,67.5,TRIOCEPT 21 TAB,ترايوسيبت 21 قرص
1197,85.0,SULFAX PLUS MASSAGE GEL 60 GM,سولفاكس بلس مساج جيل 60 جم
1202,13.0,OTAL EAR DROPS 5 ML,اوتال قطرة أذن 5 مل
1209,24.0,SODIUM CHLORIDE- ALMOTTAHEDOON 0.9%INFUSION 500 ML,صوديوم كلوريد -المتحدون 0.9 % محلول وريد 500 مل
